genes,study,relevance
5S_rRNA,Eichstaedt2014,Selec_And
7SK,Eichstaedt2014,Selec_And
MUC3A,Eichstaedt2014,Selec_And
MUC12,Eichstaedt2014,Selec_And
RP11-395B7.2,Eichstaedt2014,Selec_And
MUC17,Eichstaedt2014,Selec_And
TRIM56,Eichstaedt2014,Selec_And
RP11-395B7.4,Eichstaedt2014,Selec_And
SERPINE1,Eichstaedt2014,Selec_And
AP1S1,Eichstaedt2014,Selec_And
ABI1,Eichstaedt2014,Selec_And
PDSS1,Eichstaedt2014,Selec_And
U6,Eichstaedt2014,Selec_And
RP13-16H11.5,Eichstaedt2014,Selec_And
snoU13,Eichstaedt2014,Selec_And
SNORA57,Eichstaedt2014,Selec_And
RP13-16H11.6,Eichstaedt2014,Selec_And
AC009121.1,Eichstaedt2014,Selec_And
MIR548H2,Eichstaedt2014,Selec_And
RMI2,Eichstaedt2014,Selec_And
AC099489.1,Eichstaedt2014,Selec_And
Y_RNA,Eichstaedt2014,Selec_And
AC011625.1,Eichstaedt2014,Selec_And
PLXNA4,Eichstaedt2014,Selec_And
AC018814.1,Eichstaedt2014,Selec_And
AC073257.1,Eichstaedt2014,Selec_And
AC073257.2,Eichstaedt2014,Selec_And
AC084082.3,Eichstaedt2014,Selec_And
AC084193.1,Eichstaedt2014,Selec_And
AC090505.3,Eichstaedt2014,Selec_And
AC090505.1,Eichstaedt2014,Selec_And
AC090505.4,Eichstaedt2014,Selec_And
AC106706.1,Eichstaedt2014,Selec_And
AC090505.2,Eichstaedt2014,Selec_And
AC090505.6,Eichstaedt2014,Selec_And
FAM43A,Eichstaedt2014,Selec_And
AC090505.5,Eichstaedt2014,Selec_And
AC099552.4,Eichstaedt2014,Selec_And
AC093726.4,Eichstaedt2014,Selec_And
HTR5A,Eichstaedt2014,Selec_And
AC092628.3,Eichstaedt2014,Selec_And
AC099552.3,Eichstaedt2014,Selec_And
AC133680.1,Eichstaedt2014,Selec_And
ACY3,Eichstaedt2014,Selec_And
ADCY4,Eichstaedt2014,Selec_And
AGTRAP,Eichstaedt2014,Selec_And
AL133510.1,Eichstaedt2014,Selec_And
RP11-193H22.2,Eichstaedt2014,Selec_And
ZDHHC14,Eichstaedt2014,Selec_And
ALDH3B2,Eichstaedt2014,Selec_And
ANP32D,Eichstaedt2014,Selec_And
AP003419.11,Eichstaedt2014,Selec_And
ADRBK1,Eichstaedt2014,Selec_And
ANKRD13D,Eichstaedt2014,Selec_And
SSH3,Eichstaedt2014,Selec_And
RPS6KB2,Eichstaedt2014,Selec_And
AP003419.16,Eichstaedt2014,Selec_And
POLD4,Eichstaedt2014,Selec_And
TBC1D10C,Eichstaedt2014,Selec_And
KDM2A,Eichstaedt2014,Selec_And
CARNS1,Eichstaedt2014,Selec_And
AP003419.15,Eichstaedt2014,Selec_And
CLCF1,Eichstaedt2014,Selec_And
PPP1CA,Eichstaedt2014,Selec_And
RAD9A,Eichstaedt2014,Selec_And
AP005273.1,Eichstaedt2014,Selec_And
AP006288.1,Eichstaedt2014,Selec_And
SLC22A12,Eichstaedt2014,Selec_And
SLC22A11,Eichstaedt2014,Selec_And
NRXN2,Eichstaedt2014,Selec_And
AP003774.4,Eichstaedt2014,Selec_And
AP003774.5,Eichstaedt2014,Selec_And
AP4M1,Eichstaedt2014,Selec_And
ARAP1,Eichstaedt2014,Selec_And
ARAP1-AS1,Eichstaedt2014,Selec_And
U7,Eichstaedt2014,Selec_And
RP11-169D4.2,Eichstaedt2014,Selec_And
PDE2A,Eichstaedt2014,Selec_And
MIR139,Eichstaedt2014,Selec_And
AP005019.4,Eichstaedt2014,Selec_And
RP11-169D4.1,Eichstaedt2014,Selec_And
RP11-31L22.3,Eichstaedt2014,Selec_And
ARHGAP25,Eichstaedt2014,Selec_And
PROKR1,Eichstaedt2014,Selec_And
APLF,Eichstaedt2014,Selec_And
ARID1B,Eichstaedt2014,Selec_And
ARNT2,Eichstaedt2014,Selec_And
AS3MT,Eichstaedt2014,Selec_And
ASH1L,Eichstaedt2014,Selec_And
ATG2B,Eichstaedt2014,Selec_And
ATP11B,Eichstaedt2014,Selec_And
RP11-225N10.1,Eichstaedt2014,Selec_And
RP11-646E18.3,Eichstaedt2014,Selec_And
ATP1A2,Eichstaedt2014,Selec_And
ATP2B4,Eichstaedt2014,Selec_And
BAD,Eichstaedt2014,Selec_And
BDKRB1,Eichstaedt2014,Selec_And
BDKRB2,Eichstaedt2014,Selec_And
BNIP1,Eichstaedt2014,Selec_And
ATP6V0E1,Eichstaedt2014,Selec_And
CTC-209H22.2,Eichstaedt2014,Selec_And
SNORA74B,Eichstaedt2014,Selec_And
CTC-308K20.3,Eichstaedt2014,Selec_And
CTC-308K20.4,Eichstaedt2014,Selec_And
CTC-209H22.3,Eichstaedt2014,Selec_And
C5orf41,Eichstaedt2014,Selec_And
C10orf26,Eichstaedt2014,Selec_And
C10orf32,Eichstaedt2014,Selec_And
C11orf20,Eichstaedt2014,Selec_And
KCNK4,Eichstaedt2014,Selec_And
RPS6KA4,Eichstaedt2014,Selec_And
VEGFB,Eichstaedt2014,Selec_And
PRDX5,Eichstaedt2014,Selec_And
CCDC88B,Eichstaedt2014,Selec_And
DNAJC4,Eichstaedt2014,Selec_And
ESRRA,Eichstaedt2014,Selec_And
RP11-783K16.5,Eichstaedt2014,Selec_And
AP003774.7,Eichstaedt2014,Selec_And
AP003774.1,Eichstaedt2014,Selec_And
AP003774.6,Eichstaedt2014,Selec_And
TRMT112,Eichstaedt2014,Selec_And
MIR1237,Eichstaedt2014,Selec_And
RP11-783K16.10,Eichstaedt2014,Selec_And
PPP1R14B,Eichstaedt2014,Selec_And
GPR137,Eichstaedt2014,Selec_And
FKBP2,Eichstaedt2014,Selec_And
PLCB3,Eichstaedt2014,Selec_And
RP11-783K16.13,Eichstaedt2014,Selec_And
RP11-783K16.14,Eichstaedt2014,Selec_And
C11orf86,Eichstaedt2014,Selec_And
C12orf54,Eichstaedt2014,Selec_And
C14orf21,Eichstaedt2014,Selec_And
C1R,Eichstaedt2014,Selec_And
C1RL,Eichstaedt2014,Selec_And
C6orf174,Eichstaedt2014,Selec_And
RP11-325O24.2,Eichstaedt2014,Selec_And
RP11-325O24.1,Eichstaedt2014,Selec_And
RP11-151M7.1,Eichstaedt2014,Selec_And
RP3-403A15.5,Eichstaedt2014,Selec_And
C6orf58,Eichstaedt2014,Selec_And
C8orf12,Eichstaedt2014,Selec_And
BLK,Eichstaedt2014,Selec_And
AF131216.1,Eichstaedt2014,Selec_And
TDH,Eichstaedt2014,Selec_And
FAM167A,Eichstaedt2014,Selec_And
AF131216.5,Eichstaedt2014,Selec_And
CACNA1B,Eichstaedt2014,Selec_And
CASP8AP2,Eichstaedt2014,Selec_And
RP11-63K6.4,Eichstaedt2014,Selec_And
MDN1,Eichstaedt2014,Selec_And
RP11-63K6.5,Eichstaedt2014,Selec_And
RP11-29C12.1,Eichstaedt2014,Selec_And
RP11-63K6.1,Eichstaedt2014,Selec_And
CBLL1,Eichstaedt2014,Selec_And
DLD,Eichstaedt2014,Selec_And
SLC26A3,Eichstaedt2014,Selec_And
LAMB1,Eichstaedt2014,Selec_And
AC005046.5,Eichstaedt2014,Selec_And
CBS,Eichstaedt2014,Selec_And
CCT4,Eichstaedt2014,Selec_And
CCT7P1,Eichstaedt2014,Selec_And
RP11-244K5.1,Eichstaedt2014,Selec_And
RAET1G,Eichstaedt2014,Selec_And
ULBP3,Eichstaedt2014,Selec_And
ULBP2,Eichstaedt2014,Selec_And
PHBP1,Eichstaedt2014,Selec_And
ULBP1,Eichstaedt2014,Selec_And
RP11-472G23.10,Eichstaedt2014,Selec_And
RP11-350J20.9,Eichstaedt2014,Selec_And
RP11-472G23.3,Eichstaedt2014,Selec_And
RAET1L,Eichstaedt2014,Selec_And
RP11-244K5.3,Eichstaedt2014,Selec_And
RP11-244K5.6,Eichstaedt2014,Selec_And
RAET1E,Eichstaedt2014,Selec_And
RP11-244K5.4,Eichstaedt2014,Selec_And
BTF3P10,Eichstaedt2014,Selec_And
RP11-244K5.7,Eichstaedt2014,Selec_And
RP11-472G23.6,Eichstaedt2014,Selec_And
RAET1K,Eichstaedt2014,Selec_And
CD19,Eichstaedt2014,Selec_And
SH2B1,Eichstaedt2014,Selec_And
AC109460.2,Eichstaedt2014,Selec_And
TUFM,Eichstaedt2014,Selec_And
ATP2A1,Eichstaedt2014,Selec_And
AC145285.1,Eichstaedt2014,Selec_And
LAT,Eichstaedt2014,Selec_And
ATXN2L,Eichstaedt2014,Selec_And
RP11-1348G14.1,Eichstaedt2014,Selec_And
NFATC2IP,Eichstaedt2014,Selec_And
SNORA43,Eichstaedt2014,Selec_And
SPNS1,Eichstaedt2014,Selec_And
RABEP2,Eichstaedt2014,Selec_And
CDH1,Eichstaedt2014,Selec_And
CHKA,Eichstaedt2014,Selec_And
CIDEB,Eichstaedt2014,Selec_And
CLK2,Eichstaedt2014,Selec_And
CLSTN3,Eichstaedt2014,Selec_And
CNNM1,Eichstaedt2014,Selec_And
CNNM2,Eichstaedt2014,Selec_And
COPS6,Eichstaedt2014,Selec_And
COX8A,Eichstaedt2014,Selec_And
CRH,Eichstaedt2014,Selec_And
CRISP3,Eichstaedt2014,Selec_And
RHAG,Eichstaedt2014,Selec_And
