gene_names,cms_score,
ITGB6,23.0957,
PLA2R1,23.0957,
FAM20C,22.9029,
ANKRD27,22.687,
NUDT19,22.687,
RGS9BP,22.687,
SLC7A9,22.687,
TDRD12,22.687,
IL17A,22.3467,
IL17F,22.3467,
LINCMD1,22.3467,
MCM3,22.3467,
MIR133B,22.3467,
POU4F3,22.1664,
TCERG1,22.1664,
CYTH4,22.1526,
ELFN2,22.1526,
LOC100506271,22.1526,
MFNG,22.1526,
NA,22.089,
CEBPA,21.8366,
CEBPA-DT,21.8366,
CEBPG,21.8366,
LRP3,21.8366,
SLC7A10,21.8366,
ACACB,21.456,
ALKBH2,21.456,
UNG,21.456,
USP30,21.456,
USP30-AS1,21.456,
EXOC4,21.3855,
LOC105375512,21.3855,
MIR6133,21.3855,
SYNDIG1,21.0975,
C12orf73,20.7427,
GLT8D2,20.7427,
HCFC2,20.7427,
HSP90B1,20.7427,
MIR3652,20.7427,
TDG,20.7427,
TTC41P,20.7427,
NFKBIA,20.6549,
PSMA6,20.6549,
MIR6888,20.5648,
TANC1,20.5648,
WDSUB1,20.5648,
FLJ40288,20.5105,
LOC100506937,20.5105,
PLXNA4,20.5105,
HS3ST4,20.3012,
SNORA68B,20.2778,
LOC102724094,19.9416,
MUC12,19.9416,
MUC17,19.9416,
MUC3A,19.9416,
SERPINE1,19.9416,
TRIM56,19.9416,
CDH12,19.8584,
SNX9,19.8259,
FAM135A,19.7825,
SDHAF4,19.7825,
SMAP1,19.7825,
DAO,19.7569,
MIR619,19.7569,
SSH1,19.7569,
SVOP,19.7569,
LINC01656,19.7043,
SHISAL1,19.7043,
NFYB,19.6817,
FOXB1,19.2139,
FRMPD2,19.1609,
MAPK8,19.1609,
ANKRD9,19.0762,
LINC02323,19.0762,
MIR4309,19.0762,
RCOR1,19.0762,
TECPR2,19.0762,
MIR4785,19.0488,
RBMS1,19.0488,
ANXA2,18.8699,
ICE2,18.8699,
GSTA1,18.8502,
GSTA2,18.8502,
GSTA7P,18.8502,
LOC730101,18.8502,
TMEM14A,18.8502,
CFAP99,18.7769,
FAM193A,18.7769,
RNF4,18.7769,
ZFYVE28,18.7769,
CSF1,18.7436,
CD247,18.6737,
CREG1,18.6737,
POU2F1,18.6737,
ACBD5,18.5145,
ARMC4P1,18.5145,
LRRC37A6P,18.5145,
PTCHD3,18.5145,
DUSP27,18.5041,
GPA33,18.5041,
LINC01363,18.5041,
A2MP1,18.2941,
LINC00987,18.2941,
LINC02367,18.2941,
LOC101928030,18.2941,
LOC642846,18.2941,
LOC728715,18.2941,
MIR1244-1,18.2941,
MIR1244-2,18.2941,
MIR1244-3,18.2941,
MIR1244-4,18.2941,
